iter	Passed	Remaining
713	993	397
714	994	396
715	995	394
716	996	393
717	997	391
718	997	390
719	998	388
720	999	386
721	1000	385
722	1001	383
723	1002	382
724	1003	380
725	1005	379
726	1006	377
727	1007	376
728	1008	374
729	1010	373
730	1011	372
731	1012	370
732	1013	369
733	1014	367
734	1015	366
735	1015	364
736	1016	362
737	1017	361
738	1018	359
739	1019	358
740	1020	356
741	1021	355
742	1022	353
743	1023	352
744	1024	350
745	1025	349
746	1027	347
747	1027	346
748	1029	344
749	1029	343
750	1030	341
751	1031	340
752	1032	338
753	1033	337
754	1034	335
755	1035	334
756	1037	332
757	1038	331
758	1039	329
759	1040	328
760	1041	327
761	1042	325
762	1043	324
763	1044	322
764	1046	321
765	1048	320
766	1049	318
767	1050	317
768	1052	316
769	1053	314
770	1054	313
771	1056	311
772	1057	310
773	1058	309
774	1059	307
775	1060	306
776	1062	304
777	1063	303
778	1064	302
779	1065	300
780	1066	299
781	1068	297
782	1069	296
783	1070	294
784	1071	293
785	1072	292
786	1074	290
787	1075	289
788	1076	287
789	1077	286
790	1078	285
791	1079	283
792	1081	282
793	1082	280
794	1083	279
795	1084	278
796	1085	276
797	1086	275
798	1087	273
799	1088	272
800	1089	270
801	1090	269
802	1091	267
803	1092	266
804	1094	265
805	1095	263
806	1096	262
807	1097	260
808	1098	259
809	1099	257
810	1101	256
811	1102	255
812	1103	253
813	1104	252
814	1105	251
815	1107	249
816	1108	248
817	1109	246
818	1110	245
819	1112	244
820	1113	242
821	1114	241
822	1115	239
823	1117	238
824	1118	237
825	1119	235
826	1120	234
827	1121	232
828	1122	231
829	1123	230
830	1124	228
831	1125	227
832	1126	225
833	1128	224
834	1129	223
835	1130	221
836	1131	220
837	1132	218
838	1133	217
839	1134	216
840	1136	214
841	1137	213
842	1138	212
843	1139	210
844	1141	209
845	1142	207
846	1143	206
847	1144	205
848	1145	203
849	1147	202
850	1148	201
851	1149	199
852	1150	198
853	1152	196
854	1153	195
855	1154	194
856	1156	192
857	1157	191
858	1158	190
859	1159	188
860	1161	187
861	1162	186
862	1163	184
863	1165	183
864	1166	182
865	1167	180
866	1168	179
867	1170	177
868	1171	176
869	1173	175
870	1175	174
871	1176	172
872	1177	171
873	1178	169
874	1179	168
875	1180	167
876	1181	165
877	1182	164
878	1183	162
879	1184	161
880	1186	160
881	1187	158
882	1188	157
883	1189	156
884	1190	154
885	1191	153
886	1192	151
887	1194	150
888	1195	149
889	1196	147
890	1196	146
891	1197	145
892	1198	143
893	1214	144
894	1215	142
895	1216	141
896	1217	139
897	1218	138
898	1219	137
899	1220	135
900	1221	134
901	1222	132
902	1223	131
903	1225	130
904	1226	128
905	1228	127
906	1230	126
907	1232	124
908	1233	123
